prod_id,list_price
75104,119.99
75154,69.99
75139,59.99
75171,49.99
75147,49.99
75148,59.99
75184,39.99
75170,29.99
75111,29.99
75120,24.99
75118,24.99
75109,24.99
75121,24.99
75099,19.99
75523,24.99
75116,24.99
75107,19.99
75114,19.99
75164,14.99
75131,12.99
75132,12.99
41486,9.99
75162,9.99
75125,9.99
75128,9.99
75163,9.99
75126,9.99
42070,289.99
42056,299.99
42055,279.99
42078,179.99
42069,179.99
42066,159.99
42064,119.99
42077,109.99
42065,99.99
42068,99.99
42076,89.99
42063,59.99
42062,59.99
42075,49.99
42074,39.99
42060,29.99
8293,29.99
42072,19.99
42059,19.99
42073,19.99
42057,19.99
42058,19.99
42071,19.99
42084,14.99
42054,179.99
42052,139.99
42039,129.99
42053,119.99
42037,59.99
42049,49.99
42036,39.99
42061,39.99
42032,19.99
42033,19.99
42045,19.99
